company_id,cluster_id,cluster_name,distance_from_centroid
TVSMOTOR,0,High-Quality Compounders,1.1459766357042342
JSWSTEEL,0,High-Quality Compounders,0.4944568777043374
JIOFIN,3,Distressed or Turnaround,0.8657532643456181
JINDALSTEL,1,Defensive Dividend Payers,1.0440018020449293
ADANIENSOL,0,High-Quality Compounders,0.8175475680004326
ABB,1,Defensive Dividend Payers,0.49847309601185963
JSWENERGY,1,Defensive Dividend Payers,1.2673381270460946
ADANIGREEN,4,Emerging Growth,2.735713129717606
TORNTPHARM,1,Defensive Dividend Payers,0.5352202054655769
HINDUNILVR,3,Distressed or Turnaround,1.0950164208040603
MOTHERSON,1,Defensive Dividend Payers,0.546973251834466
COALINDIA,3,Distressed or Turnaround,1.4174614500770772
RELIANCE,1,Defensive Dividend Payers,1.7324547731324074
SHREECEM,1,Defensive Dividend Payers,0.466870907458386
BPCL,1,Defensive Dividend Payers,0.8706048105299659
CHOLAFIN,4,Emerging Growth,0.8101471026189321
SBIN,1,Defensive Dividend Payers,2.149804257483557
SBILIFE,0,High-Quality Compounders,1.099945674097719
CANBK,4,Emerging Growth,3.425067495782649
CIPLA,3,Distressed or Turnaround,1.1482592764775625
HINDALCO,3,Distressed or Turnaround,0.9252628981617014
NESTLEIND,0,High-Quality Compounders,0.7728737852538986
NAUKRI,0,High-Quality Compounders,0.5780200978416673
HEROMOTOCO,3,Distressed or Turnaround,1.9774367651757572
DIVISLAB,1,Defensive Dividend Payers,0.5517604278216978
SHRIRAMFIN,4,Emerging Growth,1.3536187932172283
ICICIGI,3,Distressed or Turnaround,0.9232669631603045
MARUTI,1,Defensive Dividend Payers,0.46738211159803383
ICICIBANK,3,Distressed or Turnaround,1.2406534376355325
BRITANNIA,1,Defensive Dividend Payers,0.2807572362464108
INDUSINDBK,4,Emerging Growth,0.9649253519222224
INDIGO,3,Distressed or Turnaround,1.57625440789981
ICICIPRULI,3,Distressed or Turnaround,2.363680560705158
M&M,1,Defensive Dividend Payers,1.0645819031520662
BOSCHLTD,1,Defensive Dividend Payers,0.4913024429627414
BHEL,1,Defensive Dividend Payers,1.909541031763403
DABUR,1,Defensive Dividend Payers,0.37981006178406274
RECLTD,4,Emerging Growth,2.4992126297515678
DMART,0,High-Quality Compounders,0.6396369696883846
DLF,1,Defensive Dividend Payers,1.8959257595833348
POWERGRID,3,Distressed or Turnaround,1.5914421723619065
SUNPHARMA,1,Defensive Dividend Payers,0.49260727069270205
BAJFINANCE,4,Emerging Growth,2.660138329241342
BHARTIARTL,3,Distressed or Turnaround,1.426745826420466
SIEMENS,1,Defensive Dividend Payers,0.6037035757415715
BEL,2,Value Cyclicals,0.7636176693995622
IOC,1,Defensive Dividend Payers,1.5032632624936029
INFY,1,Defensive Dividend Payers,0.8975612464136504
LTIM,0,High-Quality Compounders,1.5780111903831722
LT,1,Defensive Dividend Payers,0.5671657927805299
BANKBARODA,4,Emerging Growth,2.0915474567021577
TATACONSUM,1,Defensive Dividend Payers,0.6043865892970307
HDFCLIFE,3,Distressed or Turnaround,1.3536984606206603
HDFCBANK,3,Distressed or Turnaround,2.3697702748617755
NHPC,1,Defensive Dividend Payers,1.4895638117724213
EICHERMOT,1,Defensive Dividend Payers,0.6127676493264833
PNB,4,Emerging Growth,1.4027998648438713
LODHA,1,Defensive Dividend Payers,1.555419133839611
IRCTC,0,High-Quality Compounders,0.6903718304707572
BAJAJHLDNG,3,Distressed or Turnaround,2.3361783806943848
TATAMOTORS,1,Defensive Dividend Payers,1.751657323907725
BAJAJFINSV,0,High-Quality Compounders,1.5112541366567604
ATGL,0,High-Quality Compounders,0.42458442661679274
ASIANPAINT,1,Defensive Dividend Payers,0.7196801334610429
BAJAJ-AUTO,1,Defensive Dividend Payers,0.17914441922351568
AXISBANK,4,Emerging Growth,1.1799867205518535
TATAPOWER,0,High-Quality Compounders,0.5569671176039597
DRREDDY,1,Defensive Dividend Payers,0.8039264654689362
HCLTECH,1,Defensive Dividend Payers,0.7266986016861854
HAVELLS,1,Defensive Dividend Payers,0.8587178500675361
NTPC,1,Defensive Dividend Payers,0.7374307646026776
GODREJCP,1,Defensive Dividend Payers,0.5320671632699933
PIDILITIND,1,Defensive Dividend Payers,0.6439001313996204
TCS,1,Defensive Dividend Payers,2.0136171238473546
AMBUJACEM,1,Defensive Dividend Payers,0.7048521774115515
ITC,1,Defensive Dividend Payers,0.8191812481536327
LICI,1,Defensive Dividend Payers,0.7037455592125116
KOTAKBANK,3,Distressed or Turnaround,1.201550507369167
IRFC,3,Distressed or Turnaround,2.371823039422318
TATASTEEL,1,Defensive Dividend Payers,0.4163405616910765
ADANIPOWER,0,High-Quality Compounders,1.1437097255418083
ADANIPORTS,3,Distressed or Turnaround,1.0331868049676736
TITAN,0,High-Quality Compounders,0.47872805781934263
APOLLOHOSP,0,High-Quality Compounders,0.6779213830107175
TECHM,1,Defensive Dividend Payers,0.4553604390297636
PFC,4,Emerging Growth,3.337696688673335
GAIL,1,Defensive Dividend Payers,0.6325227632128316
HAL,2,Value Cyclicals,0.7636176693995669
GRASIM,0,High-Quality Compounders,1.877740816141776
ONGC,1,Defensive Dividend Payers,1.5806905465815848
TRENT,0,High-Quality Compounders,2.057805576488517
ADANIENT,0,High-Quality Compounders,0.48996935984384626
