company_id,company_name,sector,year,pe,pb,ev_ebitda,fcf_yield_pct,five_year_median_pe,pe_vs_sector_median_pct,flag,market_cap_crore
NHPC,"NHPC Ltd
",Energy,2024,71.17,13.74,18.26,0.05573417784977254,59.63,58.454859178448196,Caution,1740404.25
NTPC,NTPC Ltd,Energy,2024,30.8,5.24,37.12,0.9521678733206076,54.44,-31.42602693977513,Discount,907823.11
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2024,11.73,10.19,14.56,0.020845250072724943,13.03,-75.07437314067148,Discount,2441803.28
GAIL,GAIL (India) Ltd,Energy,2024,25.84,9.54,33.07,0.28461990353382827,30.66,-42.46910831570745,Discount,1531867.57
ONGC,Oil & Natural Gas Corpn Ltd,Energy,2024,18.15,10.36,11.72,10.781545408672736,43.8,-59.59033730379606,Discount,390111.05
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,2024,9.54,2.38,33.39,0.6329063689949501,30.92,-74.89803973161426,Discount,146151.16
NAUKRI,Info Edge (India) Ltd,Communication Services,2024,32.88,8.33,11.87,-0.026604025891463663,36.89,-31.967721911855985,Discount,563824.44
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,2024,20.83,12.38,22.57,0.0,36.03,-39.164719626168235,Discount,1596987.55
IOC,"Indian Oil Corporation
",Energy,2024,28.61,4.24,33.71,2.794810104975634,50.51,-36.30190359568073,Discount,1418164.33
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,2024,60.44,5.74,32.47,0.05299874823631171,36.42,59.03170635442703,Caution,1258520.29
IRFC,Indian Railway Finance Corporation Ltd,Financials,2024,9.81,3.91,16.66,0.3019460457018293,37.81,-71.34929906542055,Discount,2618348.58
INDUSINDBK,IndusInd Bank Ltd,Financials,2024,8.99,3.7,28.79,-0.9664534641259643,51.73,-73.74415887850468,Discount,1807433.12
INFY,Infosys Ltd,Information Technology,2024,35.99,8.97,36.7,1.808627454139422,35.99,-43.43862957724344,Discount,1112279.92
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,2024,76.23,7.87,24.64,0.9056027172386589,51.42,100.57887120115777,Caution,1040632.92
LT,Larsen & Toubro Ltd,Industrials,2024,30.8,2.48,16.63,0.0,18.77,-34.68349061605343,Discount,1124597.5
ABB,Abbott India Ltd,Industrials,2024,75.58,4.48,12.63,0.051880041574855706,62.63,60.27992789735976,Caution,1536236.24
TITAN,"Titan Company Ltd
",Consumer Discretionary,2024,10.13,10.51,21.0,0.0839572651499547,26.55,-73.3456124194185,Discount,1793769.72
JSWENERGY,JSW Energy Ltd,Energy,2024,24.79,9.88,35.95,-1.7705336124937798,36.57,-44.80685739730602,Discount,110870.53
